age,income,employment_length,loan_amount,interest_rate,home_ownership,loan_intent,historical_default,loan_status
79,126122,10,62742,19.518522824066224,Other,Home,0,0
64,39008,39,98896,14.551169368757815,Rent,Education,0,0
79,52402,2,46215,16.43549816274112,Rent,Medical,0,0
68,156865,22,48857,23.510757231069658,Rent,Home,0,0
61,156643,6,56476,8.87847912100339,Rent,Home,0,1
72,167281,22,29173,10.260770588580922,Mortgage,Business,0,1
69,133550,6,10395,18.50717731931475,Own,Business,0,0
74,194220,45,60768,16.060026892273896,Own,Personal,1,0
20,111218,33,85743,6.106256804413441,Other,Education,0,0
54,153296,41,47229,10.651388130241275,Rent,Business,0,0
68,199767,18,27639,12.760274301868444,Mortgage,Education,1,1
24,140779,8,63583,11.645966273272956,Rent,Home,0,1
38,149714,47,29924,6.1003205914069385,Other,Personal,0,1
26,52441,17,73969,23.261892111038033,Own,Education,0,0
56,190201,40,31104,19.533331518961443,Other,Business,1,1
35,82368,47,38594,13.071184138480602,Other,Home,1,0
21,112122,44,4664,17.64140365105724,Other,Medical,1,0
42,64760,41,11528,22.637501459117,Other,Home,1,0
77,43478,24,29190,5.132005274316138,Other,Business,0,0
31,147881,13,67033,7.7585801662604865,Other,Business,1,1
67,91854,43,62161,14.482128686902836,Other,Medical,0,0
75,114230,24,74177,20.377238541104248,Own,Home,0,0
26,105716,18,71179,2.8338625951551295,Own,Education,0,0
43,163252,38,71592,24.632417454516293,Rent,Education,0,0
70,118538,14,33899,12.462851866295134,Rent,Home,0,0
19,35372,15,71979,10.262316234299629,Mortgage,Education,0,0
37,49796,26,18241,8.732662070314753,Mortgage,Home,0,0
45,118826,39,47211,6.010204275970048,Own,Home,0,0
64,140592,9,64472,20.20619990539064,Own,Business,0,0
77,113635,3,75248,23.97452578916022,Mortgage,Personal,0,0
24,131022,18,74757,11.51382936144416,Own,Business,0,0
61,74040,27,32346,23.905675979329494,Mortgage,Education,1,0
78,95357,20,82196,20.947345155005785,Rent,Personal,1,0
25,98356,46,78124,13.06417593195532,Own,Home,0,0
64,36211,13,43220,17.502602119901052,Own,Education,1,0
52,125426,32,18942,12.004636120920647,Mortgage,Medical,0,0
31,25842,47,50167,14.850638388888704,Other,Education,0,0
34,86852,9,37373,3.3350657514255877,Other,Personal,0,0
53,145737,18,68143,18.01405993191226,Rent,Personal,0,0
67,65968,29,3016,3.2149668231351445,Own,Home,0,0
57,37508,21,70110,20.79295377915194,Own,Medical,0,0
21,173077,2,47309,20.973779377592823,Mortgage,Home,0,0
19,74575,36,8274,7.452777613792936,Other,Medical,0,0
79,170043,40,16748,9.444243963823407,Other,Medical,1,1
23,176671,17,21175,13.070138706840746,Rent,Home,0,1
71,86914,10,12826,15.723246859447073,Other,Education,0,0
59,87055,47,84008,8.609134220065926,Other,Business,0,0
21,107697,1,35129,15.627187306534276,Other,Medical,1,0
71,126239,11,71009,8.849102684273873,Mortgage,Personal,0,0
46,143106,5,24490,3.276286584634396,Other,Home,1,1
35,25355,42,42435,2.0581336461339057,Rent,Education,1,0
43,74120,39,76017,4.326474332123858,Other,Medical,0,0
61,58342,43,9520,20.22176610377242,Rent,Education,0,0
51,22257,28,92951,24.112920184816755,Mortgage,Home,0,0
27,47364,29,84106,11.820222583468043,Mortgage,Personal,1,0
79,176044,1,62877,13.791730929348684,Rent,Medical,0,0
53,131715,8,20798,5.3775078886888,Mortgage,Medical,0,0
31,46654,46,55638,14.673721111643612,Own,Education,0,0
48,101423,1,70072,5.327062746160467,Own,Home,0,0
65,49320,28,68309,16.05792961757309,Own,Business,0,0
32,40808,32,30894,23.46494935435964,Own,Medical,1,0
25,72389,9,63963,6.501066403969911,Own,Personal,0,0
31,138581,33,55567,19.584965515313346,Mortgage,Medical,1,0
40,147927,43,36326,2.540555724821453,Rent,Medical,0,1
77,54773,7,56059,10.636436550397283,Mortgage,Business,0,0
74,178819,36,6079,4.547215680101708,Other,Business,0,0
79,96396,32,26838,10.106935156701088,Own,Home,0,0
57,127692,46,88340,5.991349151694321,Own,Medical,0,0
38,77505,5,48109,10.586014772826411,Mortgage,Medical,0,1
33,105896,43,86211,11.603024540473198,Other,Education,0,0
62,38135,39,26594,8.913595823961122,Mortgage,Education,0,0
35,110887,44,43749,17.10230483788197,Rent,Personal,0,0
64,142118,18,37292,23.133597178954922,Own,Personal,0,0
70,67377,31,75534,11.213693604421264,Mortgage,Education,0,0
41,174626,26,80233,6.423892598925493,Rent,Personal,0,0
43,82491,0,52818,8.226623438507616,Own,Medical,0,0
42,78283,42,14429,21.642018940416484,Own,Business,0,0
77,36923,32,58748,15.147713635213401,Own,Medical,0,0
77,67591,39,49807,12.465253743060018,Other,Education,0,0
77,82261,31,8140,5.4416445947053145,Mortgage,Home,0,1
62,74336,4,64226,12.343728091446984,Own,Home,0,0
58,94083,16,15901,8.405316077219894,Own,Education,0,0
46,80948,7,89815,23.692751940627033,Rent,Medical,0,0
32,184074,41,29525,22.333612516561818,Mortgage,Personal,0,1
62,46672,33,21491,3.929758462048554,Rent,Personal,0,0
18,24213,8,69816,13.883030253008586,Mortgage,Home,0,0
42,161365,22,35980,7.176341946837458,Own,Education,1,1
24,82507,34,96525,11.447873059058683,Other,Education,0,0
26,77134,49,9078,22.1675039597835,Rent,Business,0,0
41,153172,6,92654,14.13283395743653,Other,Home,0,0
18,48172,14,90521,9.686951747527477,Other,Education,0,0
61,40132,19,49704,6.781432144414932,Other,Business,0,0
25,38199,49,17997,20.407471766349254,Mortgage,Personal,0,0
41,56609,24,80810,16.363914353379982,Mortgage,Home,0,1
28,194037,2,1868,12.765505589803318,Other,Home,0,0
68,159088,45,27398,7.002140138848495,Own,Education,1,1
34,190851,23,82578,9.68766660561402,Own,Education,1,1
25,51881,33,98356,24.076398814985925,Other,Medical,0,0
52,44472,45,22246,13.962068564934189,Rent,Personal,1,0
52,187093,21,21561,11.216083468594817,Rent,Personal,0,1
50,74131,10,17254,13.99270697401145,Mortgage,Business,0,0
76,175159,47,35512,19.916735635690998,Rent,Business,0,0
22,32828,7,90532,9.82250553956598,Own,Medical,0,0
59,116664,38,95154,6.1102407814500035,Other,Personal,0,0
56,152473,42,78395,15.4535307217981,Rent,Business,0,0
75,35193,34,58865,17.299694380064544,Other,Personal,0,0
58,195936,48,24580,18.39251406804664,Rent,Personal,0,1
45,171379,45,71959,22.285714587620983,Mortgage,Business,0,0
24,122518,37,73144,10.5370047758496,Own,Education,0,0
26,39611,7,43485,3.7331626132645113,Mortgage,Education,0,0
25,194863,36,51621,24.04201742351167,Other,Business,0,0
29,163022,26,51665,12.00527433106193,Own,Medical,0,1
51,96240,27,71412,16.33492272248202,Own,Home,0,0
50,22745,39,51603,17.32502243195072,Mortgage,Personal,0,0
65,75243,33,22038,14.569815300127681,Rent,Home,0,0
72,23866,31,94542,6.720923183934212,Mortgage,Business,0,0
40,183317,14,97346,19.368290152671253,Other,Personal,0,0
79,195796,43,15325,20.48629540899388,Rent,Home,0,0
41,148681,16,36892,14.718438478401115,Mortgage,Education,0,1
54,91354,32,2753,13.236906693451356,Mortgage,Medical,0,0
52,71374,46,96067,4.620578211943663,Rent,Home,1,0
61,134397,45,18996,3.9308882144950283,Rent,Medical,1,1
57,144577,15,69811,9.80999144796116,Rent,Education,0,1
39,181188,28,75283,9.149461576900045,Mortgage,Home,0,0
44,101029,8,46211,23.934098372155237,Rent,Business,0,0
52,113574,32,63820,20.023323076198885,Rent,Personal,0,0
18,171519,48,1824,17.17825879095838,Rent,Education,0,0
52,50431,28,14880,13.905906047404917,Own,Medical,0,0
54,168980,12,67617,5.8494532067129805,Other,Medical,1,1
64,49336,20,12517,24.504503460238528,Rent,Education,0,0
31,60992,20,22683,10.62593605952483,Other,Business,0,0
20,75350,4,17876,4.45928885628663,Rent,Business,0,0
18,89561,9,57354,13.35737460146216,Rent,Medical,0,0
22,71955,5,74802,22.101954267100915,Own,Education,0,0
43,81240,12,77719,22.407693040878577,Own,Education,0,0
72,171165,0,87602,2.252216069298287,Rent,Personal,0,0
31,157227,19,79413,22.384802129282193,Rent,Medical,1,1
56,66607,46,10982,8.244137002496746,Rent,Business,0,0
44,184559,45,75504,2.8963643712737306,Other,Home,1,1
26,172035,7,27598,21.49917621834611,Rent,Business,0,1
32,72870,9,15639,21.86893538772879,Other,Business,0,0
32,84110,8,71210,15.71331483637405,Own,Home,0,0
43,172008,48,70852,15.211976417816242,Other,Medical,1,1
59,136895,40,10695,20.701766270292644,Rent,Personal,0,0
77,24426,2,49582,20.085119712336436,Own,Business,0,0
30,47606,10,32094,22.472425889182194,Mortgage,Business,0,0
68,198904,11,61635,14.71319129472418,Own,Medical,0,0
49,48151,9,23187,24.2558831328546,Mortgage,Medical,0,0
56,31308,24,2214,24.911377111466784,Other,Education,1,0
66,196743,48,24940,4.680526029968549,Own,Medical,0,0
69,110306,48,45406,21.539506469744808,Own,Medical,0,0
78,126984,24,92221,13.495911928217547,Own,Business,1,0
49,22204,10,44481,10.91402578089614,Other,Personal,0,0
21,112769,35,16977,16.100663127302447,Rent,Business,0,0
47,107265,38,45839,3.287207817026162,Other,Medical,0,0
54,51131,25,58874,13.648605731642837,Own,Education,0,0
40,72428,13,59414,22.030483110613336,Rent,Personal,1,0
56,53870,38,26538,6.909614871196283,Own,Education,0,0
62,123547,39,57241,11.806967579696778,Own,Home,1,0
32,69067,0,74501,23.608060417442136,Mortgage,Education,0,0
60,132217,3,76133,11.856968269531038,Own,Education,0,0
46,172679,29,61481,10.24245554364516,Other,Medical,0,1
53,176040,11,28740,12.1323429068377,Other,Medical,0,1
30,118934,34,64328,13.947413629903796,Other,Medical,0,0
49,162980,12,73105,16.535800915023785,Rent,Medical,0,1
24,177495,30,51643,20.415934421084817,Mortgage,Medical,0,0
76,94707,37,12881,12.398350732579228,Mortgage,Education,1,0
68,81215,42,37996,20.802061507073226,Own,Home,0,0
39,69429,22,33177,14.275575211097854,Own,Medical,0,0
45,102152,3,38177,9.785051738463487,Mortgage,Home,0,0
19,128048,15,67126,17.132869046746528,Rent,Home,1,1
59,189530,6,57531,18.5076118591003,Other,Business,0,0
62,197241,21,27119,14.835126439478213,Own,Business,0,0
79,158731,28,28915,3.3021443820986383,Mortgage,Personal,0,0
74,97240,10,3708,5.9073061286989725,Rent,Business,0,0
70,183865,32,39749,8.561847580475249,Other,Medical,0,0
23,133688,28,45989,8.500388936884342,Own,Home,0,0
45,66473,38,23106,17.488678405678023,Other,Personal,1,0
45,116762,11,18131,2.422019218493549,Other,Business,0,0
61,126956,6,47553,19.380680872138957,Mortgage,Education,0,0
61,138452,38,59144,8.102876920559464,Mortgage,Personal,1,1
37,146311,41,7553,9.130502462970355,Other,Medical,1,1
47,27006,47,18881,14.141926042710258,Other,Home,0,0
79,94218,25,2379,6.966288821596023,Own,Medical,1,0
28,184912,39,91791,22.342840212237135,Rent,Medical,1,1
75,52430,8,70306,3.9634819245110013,Rent,Education,1,0
72,43091,40,20726,12.220794332924491,Other,Education,1,0
45,184055,33,10088,21.53671219746247,Mortgage,Home,0,0
42,43989,44,35314,16.164409571688424,Rent,Business,0,0
56,95451,12,56041,8.72357886438057,Other,Medical,0,0
79,38990,35,17350,11.677484778858597,Mortgage,Business,0,0
50,110270,24,82397,18.253970747877837,Own,Home,0,0
18,100360,23,80509,24.384997097369684,Rent,Medical,0,0
74,56081,43,18769,22.54219052272697,Own,Business,0,0
44,162105,16,48249,9.875954592794667,Mortgage,Medical,0,0
79,128272,1,83862,24.958551223620724,Other,Education,1,0
74,36241,12,47365,2.0806072612143405,Own,Education,1,0
69,144932,30,51185,2.635484383593547,Other,Personal,0,0
30,25939,28,3786,20.948331848937457,Rent,Home,0,0
58,133000,49,2620,6.587641797160196,Own,Business,1,0
20,198634,27,37303,3.39769317311354,Rent,Medical,1,1
56,55063,26,20589,7.454405684439551,Rent,Personal,1,0
23,178117,14,3882,11.800303541559785,Rent,Home,1,1
25,195841,30,63248,18.80302421996831,Rent,Home,1,0
44,67118,39,50322,16.359717110677728,Rent,Home,0,0
26,104703,14,25524,7.46528800388967,Mortgage,Business,0,0
79,172697,32,10745,13.575220306313442,Own,Education,1,1
54,148557,19,16861,23.30292442416708,Other,Personal,0,0
50,47076,41,92707,20.74517887062643,Other,Business,1,0
68,64605,11,92735,9.433365051131247,Mortgage,Medical,0,0
59,104565,36,55261,24.592084911181015,Other,Business,1,0
61,59121,8,3837,18.298269210008012,Other,Medical,0,0
41,51433,22,75135,3.436335180335981,Other,Medical,0,0
32,63309,7,82447,2.8086964056386896,Own,Home,0,0
76,87468,31,55380,5.87338282723069,Other,Business,1,1
71,195326,47,87089,18.740684965153378,Own,Education,0,0
49,87293,13,50831,6.225995294375842,Other,Medical,1,0
49,116258,26,90349,13.76419569180317,Other,Home,1,0
41,188925,24,39255,4.1449827641591295,Own,Education,0,0
58,58405,12,30520,23.180381630094487,Mortgage,Business,1,0
69,63527,20,30541,9.911094112422054,Other,Education,0,0
66,97227,44,66772,22.88703730089451,Rent,Business,0,0
79,151564,30,28350,23.73213976394252,Rent,Medical,0,1
66,159883,36,45397,2.140958888214658,Mortgage,Personal,1,1
75,113344,47,78085,12.675109305570837,Rent,Personal,0,0
69,175344,42,64865,2.5670892812585366,Own,Medical,0,1
29,67153,4,56956,22.899933624966835,Other,Education,0,0
79,128042,12,28453,13.923373528895244,Other,Business,0,0
56,74110,27,63345,3.723712292065427,Other,Personal,0,0
19,165051,42,13906,4.536364750361038,Other,Business,0,0
20,48328,24,15988,10.820707563332999,Rent,Medical,0,0
66,132911,34,28723,23.625386436076457,Rent,Education,0,0
54,32867,46,34800,17.936910486065862,Rent,Business,0,0
66,79234,38,40107,21.955233922350047,Own,Education,0,0
73,45851,6,28430,10.428502865819532,Rent,Personal,0,0
34,51279,37,33535,2.9939150896499616,Rent,Business,0,0
76,93402,31,69476,24.409305655701523,Other,Home,0,0
66,35449,2,88329,2.3949787852344997,Rent,Personal,0,0
19,96221,44,78798,23.795988020865046,Mortgage,Education,0,0
19,109080,38,53284,10.479580748530328,Mortgage,Medical,0,0
45,25451,36,57232,2.2320793155032748,Other,Home,0,0
71,107178,49,45420,17.85061632966369,Rent,Business,1,0
40,192388,21,38710,24.552426992721145,Mortgage,Personal,0,0
54,83761,7,73497,24.20939162526463,Mortgage,Business,0,0
49,58870,16,93035,5.701551257655624,Own,Business,0,0
50,116566,26,41498,6.1686995395215645,Other,Home,0,1
18,143749,32,32283,15.007395036252182,Mortgage,Home,1,1
36,143765,45,67169,16.658011007851464,Mortgage,Home,0,0
79,144881,16,73358,19.00661201431491,Other,Home,0,0
19,181945,41,63457,6.164158290859393,Rent,Medical,0,1
70,148389,11,26968,24.057162995581994,Other,Education,0,0
61,45372,47,63508,16.69100289465247,Own,Home,0,0
43,23642,45,64220,21.48207913402276,Own,Personal,0,0
49,179073,26,86366,14.42151145153595,Own,Business,0,0
23,54064,47,6738,11.5283674945673,Mortgage,Home,0,0
49,34122,7,4098,24.475206851684906,Rent,Personal,0,0
72,175892,22,96424,15.38879152885623,Own,Medical,0,0
21,88431,41,74633,21.938092404381116,Other,Personal,0,0
72,75745,48,79672,23.92572511642467,Own,Personal,0,0
28,70081,28,39244,17.533156421199163,Mortgage,Medical,0,0
73,159783,49,9253,14.625589605929523,Own,Medical,0,1
76,169865,19,55333,2.080749570944964,Rent,Business,0,0
34,159271,15,51969,2.920451736997138,Own,Home,0,0
55,96253,16,91744,6.619577969175675,Rent,Personal,0,0
41,56191,15,71423,6.27819393268789,Rent,Education,0,0
22,30211,18,45411,7.859452289596443,Other,Education,0,0
69,131086,7,76028,9.013496667046198,Rent,Business,0,0
51,172614,37,36421,10.28150635166675,Mortgage,Education,1,0
23,182384,37,2454,11.67236687158416,Mortgage,Business,1,1
39,196314,28,18522,4.273925784488338,Rent,Home,0,1
28,121971,40,39575,2.974324434913987,Rent,Business,1,0
65,113783,35,4192,17.500722328679537,Own,Medical,0,0
33,145681,25,56268,14.358700971390787,Own,Medical,0,0
50,107893,30,82311,12.215316651062752,Other,Medical,1,0
26,178763,43,11402,16.592118646872102,Own,Medical,0,0
77,97960,11,79610,21.036626365681432,Mortgage,Medical,0,0
76,104388,16,81781,11.836936909672707,Own,Medical,1,0
23,42601,14,37527,16.745747696195526,Other,Medical,0,0
33,169092,8,53181,23.93216114820865,Other,Medical,0,0
46,159227,38,92472,21.311363404815896,Rent,Medical,0,0
20,187849,41,28002,11.798018641555418,Other,Home,1,1
37,39710,47,82219,16.82848726973909,Rent,Medical,1,0
77,128714,11,13460,6.072631204066615,Mortgage,Business,0,0
76,175604,31,31482,14.892010252587067,Mortgage,Home,1,0
53,148727,24,17447,24.570550696184185,Own,Education,0,0
36,169673,38,49228,13.921247649658012,Other,Personal,1,1
43,83227,17,84265,23.33568088137339,Mortgage,Home,0,0
20,156039,14,51126,11.368703171574996,Rent,Medical,0,0
36,104289,31,21545,24.973431025246516,Other,Home,0,0
37,171094,5,56114,15.32206081023383,Other,Personal,0,1
49,194535,43,94740,2.972186867426495,Rent,Personal,0,1
24,25722,42,76350,15.495360323901926,Other,Medical,1,0
69,178485,34,58801,8.315172000630723,Other,Medical,0,1
58,101050,33,14890,2.7470704068255785,Mortgage,Business,1,0
50,103596,37,53482,20.879626007977258,Rent,Personal,0,0
57,86732,4,64397,8.341781650557387,Mortgage,Medical,0,0
56,163369,17,2740,20.320616743069465,Rent,Personal,0,0
35,88323,15,31121,8.62900440798494,Own,Business,1,0
57,43816,7,12218,6.469506139096809,Other,Education,0,0
18,60695,24,72591,24.40051820440183,Other,Personal,1,0
28,170774,31,89241,10.31784253836545,Mortgage,Business,1,1
45,176314,25,35722,15.83165286319269,Other,Business,0,0
74,75841,21,50431,16.029574334732846,Other,Business,0,0
42,148498,30,52543,14.890890089990542,Mortgage,Home,1,0
67,127096,42,43000,23.038002100987935,Mortgage,Medical,1,0
40,112764,9,72975,17.512144641437978,Rent,Personal,0,0
48,105744,11,31921,11.285859094413395,Own,Home,0,0
47,48482,27,89747,21.834748844058304,Mortgage,Personal,0,1
59,29171,5,31614,6.164446679667181,Rent,Home,0,0
52,120755,19,62189,14.517445425039602,Mortgage,Medical,0,0
24,128125,4,18601,23.862658554706396,Rent,Business,0,0
77,150722,22,94332,16.38414548724949,Own,Personal,0,0
33,126082,8,72543,20.790274360922155,Rent,Business,0,0
43,23696,28,21514,17.031896687539437,Rent,Medical,1,0
65,146310,15,84312,21.30552986137148,Other,Personal,1,1
74,171130,45,68612,23.723221236440605,Mortgage,Education,1,1
69,171385,21,91886,8.277199733252946,Rent,Education,1,1
77,39149,7,17292,5.902204868904533,Mortgage,Education,0,0
66,150064,19,32510,13.131787257648417,Rent,Medical,1,1
19,73521,13,29000,18.142835816956964,Other,Education,1,0
18,65740,38,31383,7.225398823190971,Other,Personal,1,0
65,126611,36,12785,2.0943333598938425,Own,Education,0,0
79,156028,49,41910,9.887507664244222,Rent,Personal,0,0
29,86641,33,40028,24.283764715759133,Other,Medical,0,0
22,83811,10,25855,17.984251593934474,Mortgage,Business,0,0
54,83232,39,25281,11.230485210648151,Rent,Home,1,0
49,35417,32,5841,6.429250238977327,Rent,Education,0,0
76,175801,30,98204,10.19006249635918,Own,Home,1,1
72,132492,43,61155,5.906306965928703,Mortgage,Business,0,0
26,50099,33,27918,4.445033890197882,Own,Medical,0,0
58,181033,49,57313,22.85507456916874,Rent,Medical,0,1
52,163674,6,18443,24.945957782635894,Own,Business,0,0
36,138474,48,33250,5.774632110703177,Rent,Home,0,0
65,29256,22,2922,3.254018854200434,Rent,Education,0,0
33,54681,45,32976,9.583815464362884,Own,Personal,0,0
20,111328,6,12991,12.618161157512553,Own,Medical,1,0
37,63361,24,54744,6.7108886827446526,Rent,Business,0,0
41,54540,2,23733,8.932772971366845,Own,Home,1,0
71,177608,37,3473,6.620026920908127,Own,Education,0,0
73,104700,19,9108,19.807993073946378,Rent,Home,0,0
50,98532,33,29715,18.389292694686997,Mortgage,Education,0,0
41,147626,48,33210,16.603884862502582,Own,Personal,1,1
69,153943,43,38317,10.90601071282171,Own,Personal,0,1
28,66002,43,66516,22.90794165022743,Other,Business,0,0
66,69812,29,34362,24.29924845530546,Mortgage,Business,1,0
25,173698,16,55604,5.993704190384475,Own,Education,0,0
53,128946,9,5889,7.129290752473195,Rent,Education,0,0
55,86668,34,90557,14.089513644008502,Other,Education,1,0
57,119003,19,74748,4.098763093491641,Other,Education,0,0
37,62998,17,32971,12.038313172931595,Other,Personal,0,0
79,124601,44,51551,15.381199089887334,Own,Business,0,0
52,196679,43,4201,14.007692136158662,Rent,Business,0,0
65,27812,26,90882,9.6108974107946,Other,Medical,0,0
79,81844,48,38958,14.476253539775756,Mortgage,Business,0,0
42,153251,35,80251,24.0524219479535,Other,Business,1,0
52,194870,22,6681,6.738400298701649,Other,Home,0,1
42,94601,31,47870,17.061121243062082,Mortgage,Home,0,0
46,159347,9,83256,2.9981239655891927,Other,Medical,1,1
35,67857,10,68203,3.5275773030730035,Other,Education,0,0
63,145555,37,29152,14.692049157142456,Mortgage,Medical,0,0
35,40700,5,51061,4.413601147542838,Own,Medical,1,0
19,190536,40,58619,2.5139761338177187,Mortgage,Personal,0,1
71,193423,46,59235,5.944798945904511,Own,Business,0,0
52,113330,33,74740,14.991530932990212,Own,Personal,1,0
33,164941,35,38890,18.176841953935444,Own,Business,1,1
78,172026,36,91073,6.65700697525174,Mortgage,Medical,0,1
58,182627,16,62401,17.369967055788013,Mortgage,Business,0,0
53,83353,39,12217,6.196955615282275,Own,Education,0,0
50,196098,39,49351,16.109520812518916,Mortgage,Education,0,0
21,120772,11,34741,11.475072637603374,Own,Medical,0,0
50,198048,20,21654,17.037388714673185,Mortgage,Home,0,0
31,111502,39,62314,24.886213307022686,Rent,Education,1,0
38,133943,18,2408,23.569790200348926,Mortgage,Medical,0,0
65,129850,2,43903,2.098480430230383,Mortgage,Personal,1,0
37,65095,17,85208,22.365091580333033,Mortgage,Home,0,0
73,165342,18,2218,3.52928828901963,Own,Education,0,0
25,181980,46,51572,23.920071481676434,Own,Medical,0,0
24,35523,5,59798,8.481990619292748,Rent,Medical,0,0
20,82433,15,31105,10.786801099459232,Rent,Personal,0,0
34,198140,7,70634,4.107678719041741,Other,Personal,1,1
50,39991,47,66063,4.5822734415649204,Rent,Home,0,0
65,30775,17,8619,18.715033000274353,Own,Education,0,0
29,104995,47,12939,23.719641422210707,Rent,Medical,0,0
76,167745,42,19226,16.04721538394912,Rent,Home,0,1
68,142808,38,26322,18.464550357116654,Mortgage,Home,0,0
39,178128,48,59215,19.52530412573453,Rent,Personal,1,0
72,157686,48,17878,8.04472831471766,Other,Medical,0,1
39,27415,11,7560,3.0402815111649435,Mortgage,Business,0,0
63,194956,44,39278,2.0430731101408774,Own,Personal,1,1
47,168036,9,37212,10.06493350794243,Other,Medical,1,0
55,188798,6,95835,7.55367724858197,Own,Home,0,0
55,57044,45,74079,3.4333076761312697,Other,Home,0,0
62,188616,0,24946,6.129150727354335,Mortgage,Education,0,1
68,69976,48,32740,4.863474660162799,Other,Business,0,0
71,183324,35,8253,23.04220275419952,Other,Personal,0,0
25,23832,20,80311,5.226145909560885,Rent,Education,0,0
44,54148,36,33813,14.365914671716622,Own,Education,0,0
44,132230,23,65331,15.641436967579786,Mortgage,Business,0,0
51,105076,24,28632,14.500257527298576,Other,Personal,0,0
38,58402,6,49365,4.278297986967724,Own,Personal,1,0
47,58578,41,68593,9.332362320262678,Own,Home,1,0
50,110453,16,34431,3.1792176466525253,Rent,Personal,0,0
45,173390,28,38436,11.100408024215268,Own,Education,0,0
64,95715,29,19413,6.337775419246616,Mortgage,Home,0,0
50,131435,6,96761,14.917548265540734,Rent,Personal,0,0
22,171538,32,39485,17.934593058529313,Other,Business,1,0
77,115742,6,69232,14.238756784708249,Mortgage,Education,0,0
78,65475,23,17101,11.987444022062101,Mortgage,Medical,0,0
65,80142,10,9831,10.908668679703926,Mortgage,Business,0,0
36,177636,8,85583,21.358910666231086,Rent,Business,0,0
21,173484,11,52897,7.045465496501212,Own,Personal,0,0
52,113526,34,6004,18.887021809163983,Mortgage,Home,0,0
66,71001,3,89241,19.422093469022737,Own,Home,0,0
34,77649,35,46924,11.641600167226892,Own,Education,0,0
61,186589,27,22509,8.837913782189705,Mortgage,Personal,0,1
45,164228,12,38170,12.82245417905743,Own,Home,0,0
47,174136,22,44555,4.143920295532066,Rent,Medical,0,1
46,45711,18,15662,3.0563907412690696,Rent,Personal,1,0
63,50106,41,66930,4.566873587393511,Other,Personal,0,0
70,85458,36,48403,6.304335723631202,Own,Home,1,0
23,167661,38,37365,13.59606686777499,Own,Business,0,0
52,150429,23,63188,21.530142631705807,Other,Personal,0,1
77,121754,15,77060,7.419773635992801,Rent,Business,0,0
58,158286,32,99633,23.508726247175897,Other,Education,0,0
54,146479,11,27673,23.96288190550508,Other,Education,1,1
41,178199,33,64471,24.054805911439722,Other,Home,0,0
46,156213,6,18156,21.26394289755545,Own,Education,0,0
